pořadí,tým,S,z,v,p,B,úspěšnost,tituly,vstřeleno,obdrženo,rozdíl
1.,ERA Basketball Nymburk,24,753,673,80,1.426,89.4%,18,69.875,54.814,15061
2.,BK ARMEX Děčín,26,901,509,392,1.410,56.5%,0,72.593,70.893,1700
3.,BK KVIS Pardubice,26,913,469,444,1.382,51.4%,1,74.057,73.668,389
4.,USK Praha,26,895,413,482,1.308,46.1%,13,68.684,70.206,-1522
5.,NH Ostrava,26,905,391,514,1.296,43.2%,0,71.647,75.048,-3401
6.,BK Opava,23,794,448,346,1.242,56.4%,5,65.142,62.982,2160
7.,SLUNETA Ústí nad Labem,23,806,337,469,1.143,41.8%,0,63.801,67.833,-4032
8.,Orli Prostějov,13,511,343,168,854,67.1%,-,43.374,39.359,4015
9.,BC GEOSAN Kolín,17,589,259,330,848,44.0%,0,47.435,49.407,-1972
10.,UNIBON Nový Jičín,13,458,327,131,785,71.4%,1,39.939,35.498,4441
11.,Tuři Svitavy,11,391,166,225,557,42.5%,0,30.402,31.794,-1392
12.,A Plus OHL ŽS Brno,10,343,203,140,547,59.2%,23,28.786,26.994,1792
13.,Basket Brno,11,374,147,227,521,39.3%,0,28.957,30.827,-1870
14.,BBK,9,312,126,186,438,40.4%,-,24.336,25.844,-1508
15.,Sparta Praha,8,256,132,124,388,51.6%,2,20.945,20.300,645
16.,GBA LIONS Jindřichův Hradec,7,274,75,199,349,27.4%,0,21.870,24.349,-2479
17.,BK REDSTONE Olomoucko,7,203,77,126,280,37.9%,0,17.011,17.654,-643
18.,Basketball Brno,5,202,74,128,276,36.6%,-,15.655,16.387,-732
19.,Karma Poděbrady,5,204,52,152,256,25.5%,-,16.035,18.237,-2202
20.,Levharti Chomutov,5,178,55,123,233,30.9%,-,13.680,15.285,-1605
21.,Královští sokoli,5,163,50,113,213,30.7%,0,12.961,14.346,-1385
22.,Slavia Kroměříž,3,107,21,86,129,19.6%,-,8.348,9.575,-1227
23.,Sokol Vyšehrad,3,114,12,102,126,10.5%,-,7.515,10.167,-2652
24.,Astrum Levice,2,76,39,37,115,51.3%,-,5.879,5.747,132
25.,BK Loko Interconex  Plzeň,2,76,16,60,92,21.1%,-,5.207,6.167,-960
26.,Inter Bratislava,1,46,13,33,59,28.3%,-,3.212,3.671,-459
27.,SK Slavia Praha,2,40,15,25,55,37.5%,0,3.170,3.422,-252
28.,Sršni Photomate Písek,1,4,2,2,6,50.0%,0,370,412,-42
